CLC12;Descrizione;Classe1;Classe2;Classe3;Classe4;DescrizioneBreve
1;1. SUPERFICI ARTIFICIALI;1. Superfici Artificiali;;;;
11;1.1. Zone urbanizzate di tipo residenziale;1. Superfici Artificiali;1.1. Zone urbanizzate di tipo residenziale;;;
111;1.1.1. Zone residenziali a tessuto continuo;1. Superfici Artificiali;1.1. Zone urbanizzate di tipo residenziale;1.1.1. Zone residenziali a tessuto continuo;;
112;1.1.2. Zone residenziali a tessuto discontinuo e rado;1. Superfici Artificiali;1.1. Zone urbanizzate di tipo residenziale;1.1.2. Zone residenziali a tessuto discontinuo e rado;;
12;1.2. Zone industriali, commerciali ed infrastrutturali;1. Superfici Artificiali;1.2. Zone industriali, commerciali ed infrastrutturali;;;
121;1.2.1. Aree industriali, commerciali e dei servizi pubblici e privati;1. Superfici Artificiali;1.2. Zone industriali, commerciali ed infrastrutturali;1.2.1. Aree industriali, commerciali e dei servizi pubblici e privati;;
122;1.2.2. Reti stradali, ferroviarie e infrastrutture tecniche;1. Superfici Artificiali;1.2. Zone industriali, commerciali ed infrastrutturali;1.2.2. Reti stradali, ferroviarie e infrastrutture tecniche;;
123;1.2.3. Aree portuali;1. Superfici Artificiali;1.2. Zone industriali, commerciali ed infrastrutturali;1.2.3. Aree portuali;;
124;1.2.4. Aeroporti;1. Superfici Artificiali;1.2. Zone industriali, commerciali ed infrastrutturali;1.2.4. Aeroporti;;
13;1.3. Zone estrattive, cantieri, discariche e terreni artefatti e abbandonati;1. Superfici Artificiali;1.3. Zone estrattive, cantieri, discariche e terreni artefatti e abbandonati;;;
131;1.3.1. Aree estrattive;1. Superfici Artificiali;1.3. Zone estrattive, cantieri, discariche e terreni artefatti e abbandonati;1.3.1. Aree estrattive;;
132;1.3.2. Discariche;1. Superfici Artificiali;1.3. Zone estrattive, cantieri, discariche e terreni artefatti e abbandonati;1.3.2. Discariche;;
133;1.3.3. Cantieri;1. Superfici Artificiali;1.3. Zone estrattive, cantieri, discariche e terreni artefatti e abbandonati;1.3.3. Cantieri;;
14;1.4. Zone verdi artificiali non agricole;1. Superfici Artificiali;1.4. Zone verdi artificiali non agricole;;;
141;1.4.1. Aree verdi urbane;1. Superfici Artificiali;1.4. Zone verdi artificiali non agricole;1.4.1. Aree verdi urbane;;
142;1.4.2. Aree ricreative e sportive;1. Superfici Artificiali;1.4. Zone verdi artificiali non agricole;1.4.2. Aree ricreative e sportive;;
2;2. SUPERFICI AGRICOLE UTILIZZATE;2. Superfici Agricole Utilizzate;;;;
21;2.1. Seminativi;2. Superfici Agricole Utilizzate;2.1. Seminativi;;;
211;2.1.1. Seminativi in aree non irrigue;2. Superfici Agricole Utilizzate;2.1. Seminativi;2.1.1. Seminativi in aree non irrigue;;
2111;2.1.1.1. Colture intensive;2. Superfici Agricole Utilizzate;2.1. Seminativi;2.1.1. Seminativi in aree non irrigue;2.1.1.1. Colture intensive;
2112;2.1.1.2. Colture estensive;2. Superfici Agricole Utilizzate;2.1. Seminativi;2.1.1. Seminativi in aree non irrigue;2.1.1.2. Colture estensive;
212;2.1.2. Seminativi in aree irrigue;2. Superfici Agricole Utilizzate;2.1. Seminativi;2.1.2. Seminativi in aree irrigue;;
213;2.1.3. Risaie;2. Superfici Agricole Utilizzate;2.1. Seminativi;2.1.3. Risaie;;
22;2.2. Colture permanenti;2. Superfici Agricole Utilizzate;2.2. Colture permanenti;;;
221;2.2.1. Vigneti;2. Superfici Agricole Utilizzate;2.2. Colture permanenti;2.2.1. Vigneti;;
